outfpr,outffl,outfnm,outfdo
"DELWAQG   ","SF_dCPPOS1",  18," "
"DELWAQG   ","SF_dCDPOC1",  19," "
"DELWAQG   ","SF_dCDPON1",  20," "
"DELWAQG   ","SF_dCDPOP1",  21," "
"DELWAQG   ","SF_dCDPOS1",  22," "
"DELWAQG   ","SF_dMPOC1 ",  23," "
"DELWAQG   ","SF_dMPON1 ",  24," "
"DELWAQG   ","SF_dMPOP1 ",  25," "
"DELWAQG   ","SF_dMPOS1 ",  26," "
"DELWAQG   ","SF_dCPPOC2",  27," "
"DELWAQG   ","SF_dCPPON2",  28," "
"DELWAQG   ","SF_dCPPOP2",  29," "
"DELWAQG   ","SF_dCPPOS2",  30," "
"DELWAQG   ","SF_dCDPOC2",  31," "
"DELWAQG   ","SF_dCDPON2",  32," "
"DELWAQG   ","SF_dCDPOP2",  33," "
"DELWAQG   ","SF_dCDPOS2",  34," "
"DELWAQG   ","SF_dMPOC2 ",  35," "
"DELWAQG   ","SF_dMPON2 ",  36," "
"DELWAQG   ","SF_dMPOP2 ",  37," "
"DELWAQG   ","SF_dMPOS2 ",  38," "
"DELWAQG   ","SF_dCPPOC3",  39," "
"DELWAQG   ","SF_dCPPON3",  40," "
"DELWAQG   ","SF_dCPPOP3",  41," "
"DELWAQG   ","SF_dCPPOS3",  42," "
"DELWAQG   ","SF_dCDPOC3",  43," "
"DELWAQG   ","SF_dCDPON3",  44," "
"DELWAQG   ","SF_dCDPOP3",  45," "
"DELWAQG   ","SF_dCDPOS3",  46," "
"DELWAQG   ","SF_dMPOC3 ",  47," "
"DELWAQG   ","SF_dMPON3 ",  48," "
"DELWAQG   ","SF_dMPOP3 ",  49," "
"DELWAQG   ","SF_dMPOS3 ",  50," "
"DELWAQG   ","SF_dCPPOC4",  51," "
"DELWAQG   ","SF_dCPPON4",  52," "
"DELWAQG   ","SF_dCPPOP4",  53," "
"DELWAQG   ","SF_dCPPOS4",  54," "
"DELWAQG   ","SF_dCDPOC4",  55," "
"DELWAQG   ","SF_dCDPON4",  56," "
"DELWAQG   ","SF_dCDPOP4",  57," "
"DELWAQG   ","SF_dCDPOS4",  58," "
"DELWAQG   ","SF_dMPOC4 ",  59," "
"DELWAQG   ","SF_dMPON4 ",  60," "
"DELWAQG   ","SF_dMPOP4 ",  61," "
"DELWAQG   ","SF_dMPOS4 ",  62," "
"DELWAQG   ","SF_dCXDOC ",  63," "
"DELWAQG   ","SF_dCXDON ",  64," "
"DELWAQG   ","SF_dCXDOP ",  65," "
"DELWAQG   ","SF_dCXDOS ",  66," "
"DELWAQG   ","SF_dCYDOC ",  67," "
"DELWAQG   ","SF_dCYDON ",  68," "
"DELWAQG   ","SF_dCYDOP ",  69," "
"DELWAQG   ","SF_dCYDOS ",  70," "
"DELWAQG   ","SF_dMDOC  ",  71," "
"DELWAQG   ","SF_dMDON  ",  72," "
"DELWAQG   ","SF_dMDOP  ",  73," "
"DELWAQG   ","SF_dMDOS  ",  74," "
"DELWAQG   ","SF_dPrcPO4",  75," "
"DELWAQG   ","SF_dDisPO4",  76," "
"DELWAQG   ","SF_dDisSi ",  77," "
"DELWAQG   ","SF_dOxCon ",  78," "
"DELWAQG   ","SF_dNiDen ",  79," "
"DELWAQG   ","SF_dFeRed ",  80," "
"DELWAQG   ","SF_dSuRed ",  81," "
"DELWAQG   ","SF_dMetCH4",  82," "
"DELWAQG   ","SF_dMetCO2",  83," "
"DELWAQG   ","SF_dMetEbl",  84," "
"DELWAQG   ","SF_dSUDox ",  85," "
"DELWAQG   ","SF_dSUDprc",  86," "
"DELWAQG   ","SF_dSUDdis",  87," "
"DELWAQG   ","SF_dMetoxD",  88," "
"DELWAQG   ","SF_dMetoxS",  89," "
"DELWAQG   ","SF_dPrcAPP",  90," "
"DELWAQG   ","SF_dDisAPP",  91," "
"DELWAQG   ","SF_dN1VBup",  92," "
"DELWAQG   ","SF_dN2VBup",  93," "
"DELWAQG   ","SF_dP1VBup",  94," "
"DELWAQG   ","SF_dP2VBup",  95," "
"DELWAQG   ","SF_dS1VBup",  96," "
"DELWAQG   ","SF_dS2VBup",  97," "
"DELWAQG   ","SF_dC1VBre",  98," "
"DELWAQG   ","SF_dC2VBre",  99," "
"DELWAQG   ","SF_dC3VBre", 100," "
"DELWAQG   ","SF_dC4VBre", 101," "
"DELWAQG   ","SF_dN1VBre", 102," "
"DELWAQG   ","SF_dN2VBre", 103," "
"DELWAQG   ","SF_dN3VBre", 104," "
"DELWAQG   ","SF_dN4VBre", 105," "
"DELWAQG   ","SF_dP1VBre", 106," "
"DELWAQG   ","SF_dP2VBre", 107," "
"DELWAQG   ","SF_dP3VBre", 108," "
"DELWAQG   ","SF_dP4VBre", 109," "
"DELWAQG   ","SF_dS1VBre", 110," "
"DELWAQG   ","SF_dS2VBre", 111," "
"DELWAQG   ","SF_dS3VBre", 112," "
"DELWAQG   ","SF_dS4VBre", 113," "
"DELWAQG   ","INIS1_CH4 ", 114," "
"DELWAQG   ","INIS1_DOC ", 115," "
"DELWAQG   ","INIS1_DON ", 116," "
"DELWAQG   ","INIS1_DOP ", 117," "
"DELWAQG   ","INIS1_DOS ", 118," "
"DELWAQG   ","INIS1_NH4 ", 119," "
"DELWAQG   ","INIS1_NO3 ", 120," "
"DELWAQG   ","INIS1_OXY ", 121," "
"DELWAQG   ","INIS1_PO4 ", 122," "
"DELWAQG   ","INIS1_Si  ", 123," "
"DELWAQG   ","INIS1_SO4 ", 124," "
"DELWAQG   ","INIS1_SUD ", 125," "
"DELWAQG   ","INIS1_AAP ", 126," "
"DELWAQG   ","INIS1_APAT", 127," "
"DELWAQG   ","INIS1_Fe3p", 128," "
"DELWAQG   ","INIS1_Opal", 129," "
"DELWAQG   ","INIS1_POC1", 130," "
"DELWAQG   ","INIS1_POC2", 131," "
"DELWAQG   ","INIS1_POC3", 132," "
"DELWAQG   ","INIS1_POC4", 133," "
"DELWAQG   ","INIS1_PON1", 134," "
"DELWAQG   ","INIS1_PON2", 135," "
"DELWAQG   ","INIS1_PON3", 136," "
"DELWAQG   ","INIS1_PON4", 137," "
"DELWAQG   ","INIS1_POP1", 138," "
"DELWAQG   ","INIS1_POP2", 139," "
"DELWAQG   ","INIS1_POP3", 140," "
"DELWAQG   ","INIS1_POP4", 141," "
"DELWAQG   ","INIS1_POS1", 142," "
"DELWAQG   ","INIS1_POS2", 143," "
"DELWAQG   ","INIS1_POS3", 144," "
"DELWAQG   ","INIS1_POS4", 145," "
"DELWAQG   ","INIS1_SUP ", 146," "
"DELWAQG   ","INIS1_VIVP", 147," "
"MPBenthos ","dMPB1Fgp  ",   1,"x"
"MPBenthos ","dMPB2Fgp  ",   2,"x"
"MPBenthos ","dMPB1Res  ",   3,"x"
"MPBenthos ","dMPB2Res  ",   4,"x"
"MPBenthos ","dMPB1Mor  ",   5,"x"
"MPBenthos ","dMPB2Mor  ",   6,"x"
"MPBenthos ","dMPBOxy   ",   7,"x"
"MPBenthos ","dMPBCO2up ",   8,"x"
"MPBenthos ","dMPBNO3up ",   9,"x"
"MPBenthos ","dMPBNH4up ",  10,"x"
"MPBenthos ","dMPBPO4up ",  11,"x"
"MPBenthos ","dMPBSiup  ",  12,"x"
"MPBenthos ","dMPBPOC1  ",  13,"x"
"MPBenthos ","dMPBPON1  ",  14,"x"
"MPBenthos ","dMPBPOP1  ",  15,"x"
"MPBenthos ","dMPBOpal  ",  16,"x"
"MPBenthos ","dMPB1FgpS1",  17,"x"
"MPBenthos ","dMPB2FgpS1",  18,"x"
"MPBenthos ","dMPB1ResS1",  19,"x"
"MPBenthos ","dMPB2ResS1",  20,"x"
"MPBenthos ","dMPB1MorS1",  21,"x"
"MPBenthos ","dMPB2MorS1",  22,"x"
"MPBenthos ","dMPBDetCS ",  23,"x"
"MPBenthos ","dMPBDetNS ",  24,"x"
"MPBenthos ","dMPBDetPS ",  25,"x"
"MPBenthos ","dMPBDetSS ",  26,"x"
"VB01Procs ","dVB01     ",   1,"x"
"VB01Procs ","dMrtC1VB01",   2,"x"
"VB01Procs ","dMrtC3VB01",   3,"x"
"VB01Procs ","dMrtC4VB01",   4,"x"
"VB01Procs ","dMrtC2VB01",   5,"x"
"VB01Procs ","dMrtC5VB01",   6,"x"
"VB01Procs ","dN1VB01upw",   7,"x"
"VB01Procs ","dN2VB01upw",   8,"x"
"VB01Procs ","dP1VB01upw",   9,"x"
"VB01Procs ","dP2VB01upw",  10,"x"
"VB01Procs ","dS1VB01upw",  11,"x"
"VB01Procs ","dS2VB01upw",  12,"x"
"VB01Procs ","dMC1VB01P5",  13,"x"
"VB01Procs ","dMN1VB01P5",  14,"x"
"VB01Procs ","dMP1VB01P5",  15,"x"
"VB01Procs ","dMS1VB01P5",  16,"x"
"VB01Procs ","dMC2VB01P1",  17,"x"
"VB01Procs ","dMC2VB01P2",  18,"x"
"VB01Procs ","dMC2VB01P3",  19,"x"
"VB01Procs ","dMN2VB01P1",  20,"x"
"VB01Procs ","dMN2VB01P2",  21,"x"
"VB01Procs ","dMN2VB01P3",  22,"x"
"VB01Procs ","dMP2VB01P1",  23,"x"
"VB01Procs ","dMP2VB01P2",  24,"x"
"VB01Procs ","dMP2VB01P3",  25,"x"
"VB01Procs ","dMS2VB01P1",  26,"x"
"VB01Procs ","dMS2VB01P2",  27,"x"
"VB01Procs ","dMS2VB01P3",  28,"x"
"VB01Procs ","dMC3VB01P5",  29,"x"
"VB01Procs ","dMN3VB01P5",  30,"x"
"VB01Procs ","dMP3VB01P5",  31,"x"
"VB01Procs ","dMS3VB01P5",  32,"x"
"VB02Procs ","dVB02     ",   1,"x"
"VB02Procs ","dMrtC1VB02",   2,"x"
"VB02Procs ","dMrtC3VB02",   3,"x"
"VB02Procs ","dMrtC4VB02",   4,"x"
"VB02Procs ","dMrtC2VB02",   5,"x"
"VB02Procs ","dMrtC5VB02",   6,"x"
"VB02Procs ","dN1VB02upw",   7,"x"
"VB02Procs ","dN2VB02upw",   8,"x"
"VB02Procs ","dP1VB02upw",   9,"x"
"VB02Procs ","dP2VB02upw",  10,"x"
"VB02Procs ","dS1VB02upw",  11,"x"
"VB02Procs ","dS2VB02upw",  12,"x"
"VB02Procs ","dMC1VB02P5",  13,"x"
"VB02Procs ","dMN1VB02P5",  14,"x"
"VB02Procs ","dMP1VB02P5",  15,"x"
"VB02Procs ","dMS1VB02P5",  16,"x"
"VB02Procs ","dMC2VB02P1",  17,"x"
"VB02Procs ","dMC2VB02P2",  18,"x"
"VB02Procs ","dMC2VB02P3",  19,"x"
"VB02Procs ","dMN2VB02P1",  20,"x"
"VB02Procs ","dMN2VB02P2",  21,"x"
"VB02Procs ","dMN2VB02P3",  22,"x"
"VB02Procs ","dMP2VB02P1",  23,"x"
"VB02Procs ","dMP2VB02P2",  24,"x"
"VB02Procs ","dMP2VB02P3",  25,"x"
"VB02Procs ","dMS2VB02P1",  26,"x"
"VB02Procs ","dMS2VB02P2",  27,"x"
"VB02Procs ","dMS2VB02P3",  28,"x"
"VB02Procs ","dMC3VB02P5",  29,"x"
"VB02Procs ","dMN3VB02P5",  30,"x"
"VB02Procs ","dMP3VB02P5",  31,"x"
"VB02Procs ","dMS3VB02P5",  32,"x"
"VB03Procs ","dVB03     ",   1,"x"
"VB03Procs ","dMrtC1VB03",   2,"x"
"VB03Procs ","dMrtC3VB03",   3,"x"
"VB03Procs ","dMrtC4VB03",   4,"x"
"VB03Procs ","dMrtC2VB03",   5,"x"
"VB03Procs ","dMrtC5VB03",   6,"x"
"VB03Procs ","dN1VB03upw",   7,"x"
"VB03Procs ","dN2VB03upw",   8,"x"
"VB03Procs ","dP1VB03upw",   9,"x"
"VB03Procs ","dP2VB03upw",  10,"x"
"VB03Procs ","dS1VB03upw",  11,"x"
"VB03Procs ","dS2VB03upw",  12,"x"
"VB03Procs ","dMC1VB03P5",  13,"x"
"VB03Procs ","dMN1VB03P5",  14,"x"
"VB03Procs ","dMP1VB03P5",  15,"x"
"VB03Procs ","dMS1VB03P5",  16,"x"
"VB03Procs ","dMC2VB03P1",  17,"x"
"VB03Procs ","dMC2VB03P2",  18,"x"
"VB03Procs ","dMC2VB03P3",  19,"x"
"VB03Procs ","dMN2VB03P1",  20,"x"
"VB03Procs ","dMN2VB03P2",  21,"x"
"VB03Procs ","dMN2VB03P3",  22,"x"
"VB03Procs ","dMP2VB03P1",  23,"x"
"VB03Procs ","dMP2VB03P2",  24,"x"
"VB03Procs ","dMP2VB03P3",  25,"x"
"VB03Procs ","dMS2VB03P1",  26,"x"
"VB03Procs ","dMS2VB03P2",  27,"x"
"VB03Procs ","dMS2VB03P3",  28,"x"
"VB03Procs ","dMC3VB03P5",  29,"x"
"VB03Procs ","dMN3VB03P5",  30,"x"
"VB03Procs ","dMP3VB03P5",  31,"x"
"VB03Procs ","dMS3VB03P5",  32,"x"
"VB04Procs ","dVB04     ",   1,"x"
"VB04Procs ","dMrtC1VB04",   2,"x"
"VB04Procs ","dMrtC3VB04",   3,"x"
"VB04Procs ","dMrtC4VB04",   4,"x"
"VB04Procs ","dMrtC2VB04",   5,"x"
"VB04Procs ","dMrtC5VB04",   6,"x"
"VB04Procs ","dN1VB04upw",   7,"x"
"VB04Procs ","dN2VB04upw",   8,"x"
"VB04Procs ","dP1VB04upw",   9,"x"
"VB04Procs ","dP2VB04upw",  10,"x"
"VB04Procs ","dS1VB04upw",  11,"x"
"VB04Procs ","dS2VB04upw",  12,"x"
"VB04Procs ","dMC1VB04P5",  13,"x"
"VB04Procs ","dMN1VB04P5",  14,"x"
"VB04Procs ","dMP1VB04P5",  15,"x"
"VB04Procs ","dMS1VB04P5",  16,"x"
"VB04Procs ","dMC2VB04P1",  17,"x"
"VB04Procs ","dMC2VB04P2",  18,"x"
"VB04Procs ","dMC2VB04P3",  19,"x"
"VB04Procs ","dMN2VB04P1",  20,"x"
"VB04Procs ","dMN2VB04P2",  21,"x"
"VB04Procs ","dMN2VB04P3",  22,"x"
"VB04Procs ","dMP2VB04P1",  23,"x"
"VB04Procs ","dMP2VB04P2",  24,"x"
"VB04Procs ","dMP2VB04P3",  25,"x"
"VB04Procs ","dMS2VB04P1",  26,"x"
"VB04Procs ","dMS2VB04P2",  27,"x"
"VB04Procs ","dMS2VB04P3",  28,"x"
"VB04Procs ","dMC3VB04P5",  29,"x"
"VB04Procs ","dMN3VB04P5",  30,"x"
"VB04Procs ","dMP3VB04P5",  31,"x"
"VB04Procs ","dMS3VB04P5",  32,"x"
"VB05Procs ","dVB05     ",   1,"x"
"VB05Procs ","dMrtC1VB05",   2,"x"
"VB05Procs ","dMrtC3VB05",   3,"x"
"VB05Procs ","dMrtC4VB05",   4,"x"
"VB05Procs ","dMrtC2VB05",   5,"x"
"VB05Procs ","dMrtC5VB05",   6,"x"
"VB05Procs ","dN1VB05upw",   7,"x"
"VB05Procs ","dN2VB05upw",   8,"x"
"VB05Procs ","dP1VB05upw",   9,"x"
"VB05Procs ","dP2VB05upw",  10,"x"
"VB05Procs ","dS1VB05upw",  11,"x"
"VB05Procs ","dS2VB05upw",  12,"x"
"VB05Procs ","dMC1VB05P5",  13,"x"
"VB05Procs ","dMN1VB05P5",  14,"x"
"VB05Procs ","dMP1VB05P5",  15,"x"
"VB05Procs ","dMS1VB05P5",  16,"x"
"VB05Procs ","dMC2VB05P1",  17,"x"
"VB05Procs ","dMC2VB05P2",  18,"x"
"VB05Procs ","dMC2VB05P3",  19,"x"
"VB05Procs ","dMN2VB05P1",  20,"x"
"VB05Procs ","dMN2VB05P2",  21,"x"
"VB05Procs ","dMN2VB05P3",  22,"x"
"VB05Procs ","dMP2VB05P1",  23,"x"
"VB05Procs ","dMP2VB05P2",  24,"x"
"VB05Procs ","dMP2VB05P3",  25,"x"
"VB05Procs ","dMS2VB05P1",  26,"x"
"VB05Procs ","dMS2VB05P2",  27,"x"
"VB05Procs ","dMS2VB05P3",  28,"x"
"VB05Procs ","dMC3VB05P5",  29,"x"
"VB05Procs ","dMN3VB05P5",  30,"x"
"VB05Procs ","dMP3VB05P5",  31,"x"
"VB05Procs ","dMS3VB05P5",  32,"x"
"VB06Procs ","dVB06     ",   1,"x"
"VB06Procs ","dMrtC1VB06",   2,"x"
"VB06Procs ","dMrtC3VB06",   3,"x"
"VB06Procs ","dMrtC4VB06",   4,"x"
"VB06Procs ","dMrtC2VB06",   5,"x"
"VB06Procs ","dMrtC5VB06",   6,"x"
"VB06Procs ","dN1VB06upw",   7,"x"
"VB06Procs ","dN2VB06upw",   8,"x"
"VB06Procs ","dP1VB06upw",   9,"x"
"VB06Procs ","dP2VB06upw",  10,"x"
"VB06Procs ","dS1VB06upw",  11,"x"
"VB06Procs ","dS2VB06upw",  12,"x"
"VB06Procs ","dMC1VB06P5",  13,"x"
"VB06Procs ","dMN1VB06P5",  14,"x"
"VB06Procs ","dMP1VB06P5",  15,"x"
"VB06Procs ","dMS1VB06P5",  16,"x"
"VB06Procs ","dMC2VB06P1",  17,"x"
"VB06Procs ","dMC2VB06P2",  18,"x"
"VB06Procs ","dMC2VB06P3",  19,"x"
"VB06Procs ","dMN2VB06P1",  20,"x"
"VB06Procs ","dMN2VB06P2",  21,"x"
"VB06Procs ","dMN2VB06P3",  22,"x"
"VB06Procs ","dMP2VB06P1",  23,"x"
"VB06Procs ","dMP2VB06P2",  24,"x"
"VB06Procs ","dMP2VB06P3",  25,"x"
"VB06Procs ","dMS2VB06P1",  26,"x"
"VB06Procs ","dMS2VB06P2",  27,"x"
"VB06Procs ","dMS2VB06P3",  28,"x"
"VB06Procs ","dMC3VB06P5",  29,"x"
"VB06Procs ","dMN3VB06P5",  30,"x"
"VB06Procs ","dMP3VB06P5",  31,"x"
"VB06Procs ","dMS3VB06P5",  32,"x"
"VB07Procs ","dVB07     ",   1,"x"
"VB07Procs ","dMrtC1VB07",   2,"x"
"VB07Procs ","dMrtC3VB07",   3,"x"
"VB07Procs ","dMrtC4VB07",   4,"x"
"VB07Procs ","dMrtC2VB07",   5,"x"
"VB07Procs ","dMrtC5VB07",   6,"x"
"VB07Procs ","dN1VB07upw",   7,"x"
"VB07Procs ","dN2VB07upw",   8,"x"
"VB07Procs ","dP1VB07upw",   9,"x"
"VB07Procs ","dP2VB07upw",  10,"x"
"VB07Procs ","dS1VB07upw",  11,"x"
"VB07Procs ","dS2VB07upw",  12,"x"
"VB07Procs ","dMC1VB07P5",  13,"x"
"VB07Procs ","dMN1VB07P5",  14,"x"
"VB07Procs ","dMP1VB07P5",  15,"x"
"VB07Procs ","dMS1VB07P5",  16,"x"
"VB07Procs ","dMC2VB07P1",  17,"x"
"VB07Procs ","dMC2VB07P2",  18,"x"
"VB07Procs ","dMC2VB07P3",  19,"x"
"VB07Procs ","dMN2VB07P1",  20,"x"
"VB07Procs ","dMN2VB07P2",  21,"x"
"VB07Procs ","dMN2VB07P3",  22,"x"
"VB07Procs ","dMP2VB07P1",  23,"x"
"VB07Procs ","dMP2VB07P2",  24,"x"
"VB07Procs ","dMP2VB07P3",  25,"x"
"VB07Procs ","dMS2VB07P1",  26,"x"
"VB07Procs ","dMS2VB07P2",  27,"x"
"VB07Procs ","dMS2VB07P3",  28,"x"
"VB07Procs ","dMC3VB07P5",  29,"x"
"VB07Procs ","dMN3VB07P5",  30,"x"
"VB07Procs ","dMP3VB07P5",  31,"x"
"VB07Procs ","dMS3VB07P5",  32,"x"
"VB08Procs ","dVB08     ",   1,"x"
"VB08Procs ","dMrtC1VB08",   2,"x"
"VB08Procs ","dMrtC3VB08",   3,"x"
"VB08Procs ","dMrtC4VB08",   4,"x"
"VB08Procs ","dMrtC2VB08",   5,"x"
"VB08Procs ","dMrtC5VB08",   6,"x"
"VB08Procs ","dN1VB08upw",   7,"x"
"VB08Procs ","dN2VB08upw",   8,"x"
"VB08Procs ","dP1VB08upw",   9,"x"
"VB08Procs ","dP2VB08upw",  10,"x"
"VB08Procs ","dS1VB08upw",  11,"x"
"VB08Procs ","dS2VB08upw",  12,"x"
"VB08Procs ","dMC1VB08P5",  13,"x"
"VB08Procs ","dMN1VB08P5",  14,"x"
"VB08Procs ","dMP1VB08P5",  15,"x"
"VB08Procs ","dMS1VB08P5",  16,"x"
"VB08Procs ","dMC2VB08P1",  17,"x"
"VB08Procs ","dMC2VB08P2",  18,"x"
"VB08Procs ","dMC2VB08P3",  19,"x"
"VB08Procs ","dMN2VB08P1",  20,"x"
"VB08Procs ","dMN2VB08P2",  21,"x"
"VB08Procs ","dMN2VB08P3",  22,"x"
"VB08Procs ","dMP2VB08P1",  23,"x"
"VB08Procs ","dMP2VB08P2",  24,"x"
"VB08Procs ","dMP2VB08P3",  25,"x"
"VB08Procs ","dMS2VB08P1",  26,"x"
"VB08Procs ","dMS2VB08P2",  27,"x"
"VB08Procs ","dMS2VB08P3",  28,"x"
"VB08Procs ","dMC3VB08P5",  29,"x"
"VB08Procs ","dMN3VB08P5",  30,"x"
"VB08Procs ","dMP3VB08P5",  31,"x"
"VB08Procs ","dMS3VB08P5",  32,"x"
"VB09Procs ","dVB09     ",   1,"x"
"VB09Procs ","dMrtC1VB09",   2,"x"
"VB09Procs ","dMrtC3VB09",   3,"x"
"VB09Procs ","dMrtC4VB09",   4,"x"
"VB09Procs ","dMrtC2VB09",   5,"x"
"VB09Procs ","dMrtC5VB09",   6,"x"
"VB09Procs ","dN1VB09upw",   7,"x"
"VB09Procs ","dN2VB09upw",   8,"x"
"VB09Procs ","dP1VB09upw",   9,"x"
"VB09Procs ","dP2VB09upw",  10,"x"
"VB09Procs ","dS1VB09upw",  11,"x"
"VB09Procs ","dS2VB09upw",  12,"x"
"VB09Procs ","dMC1VB09P5",  13,"x"
"VB09Procs ","dMN1VB09P5",  14,"x"
"VB09Procs ","dMP1VB09P5",  15,"x"
"VB09Procs ","dMS1VB09P5",  16,"x"
"VB09Procs ","dMC2VB09P1",  17,"x"
"VB09Procs ","dMC2VB09P2",  18,"x"
"VB09Procs ","dMC2VB09P3",  19,"x"
"VB09Procs ","dMN2VB09P1",  20,"x"
"VB09Procs ","dMN2VB09P2",  21,"x"
"VB09Procs ","dMN2VB09P3",  22,"x"
"VB09Procs ","dMP2VB09P1",  23,"x"
"VB09Procs ","dMP2VB09P2",  24,"x"
"VB09Procs ","dMP2VB09P3",  25,"x"
"VB09Procs ","dMS2VB09P1",  26,"x"
"VB09Procs ","dMS2VB09P2",  27,"x"
"VB09Procs ","dMS2VB09P3",  28,"x"
"VB09Procs ","dMC3VB09P5",  29,"x"
"VB09Procs ","dMN3VB09P5",  30,"x"
"VB09Procs ","dMP3VB09P5",  31,"x"
"VB09Procs ","dMS3VB09P5",  32,"x"
"VBSum     ","dDumVBSum ",   1,"x"
"htragg    ","dTyreAgg11",   1,"x"
"htragg    ","dTyreAgg12",   2,"x"
"htragg    ","dTyreAgg13",   3,"x"
"htragg    ","dTyreAgg21",   4,"x"
"htragg    ","dTyreAgg22",   5,"x"
"htragg    ","dTyreAgg23",   6,"x"
"htragg    ","dTyreAgg31",   7,"x"
"htragg    ","dTyreAgg32",   8,"x"
"htragg    ","dTyreAgg33",   9,"x"
"htragg    ","dTyreAgg41",  10,"x"
"htragg    ","dTyreAgg42",  11,"x"
"htragg    ","dTyreAgg43",  12,"x"
"SedTyre   ","dSedTyre11",   1,"x"
"SedTyre   ","dSedTyre12",   2,"x"
"SedTyre   ","dSedTyre13",   3,"x"
"SedTyre   ","dSedTyre21",   4,"x"
"SedTyre   ","dSedTyre22",   5,"x"
"SedTyre   ","dSedTyre23",   6,"x"
"SedTyre   ","dSedTyre31",   7,"x"
"SedTyre   ","dSedTyre32",   8,"x"
"SedTyre   ","dSedTyre33",   9,"x"
"SedTyre   ","dSedTyre41",  10,"x"
"SedTyre   ","dSedTyre42",  11,"x"
"SedTyre   ","dSedTyre43",  12,"x"
"SedTAgg   ","dSedTAgg11",   1,"x"
"SedTAgg   ","dSedTAgg12",   2,"x"
"SedTAgg   ","dSedTAgg13",   3,"x"
"SedTAgg   ","dSedTAgg21",   4,"x"
"SedTAgg   ","dSedTAgg22",   5,"x"
"SedTAgg   ","dSedTAgg23",   6,"x"
"SedTAgg   ","dSedTAgg31",   7,"x"
"SedTAgg   ","dSedTAgg32",   8,"x"
"SedTAgg   ","dSedTAgg33",   9,"x"
"SedTAgg   ","dSedTAgg41",  10,"x"
"SedTAgg   ","dSedTAgg42",  11,"x"
"SedTAgg   ","dSedTAgg43",  12,"x"
"Prot_Dia  ","dNH4up_D1 ",   1," "
"Prot_Dia  ","dNO3up_D1 ",   2," "
"Prot_Dia  ","dPup_D1   ",   3," "
"Prot_Dia  ","dSiup_D1  ",   4," "
"Prot_Dia  ","dCfix_D1  ",   5," "
"Prot_Dia  ","dChlsyn_D1",   6," "
"Prot_Dia  ","dChldeg_D1",   7," "
"Prot_Dia  ","dCresp_D1 ",   8," "
"Prot_Dia  ","dCleak_D1 ",   9," "
"Prot_Dia  ","dCvoid_D1 ",  10," "
"Prot_Dia  ","dNH4out_D1",  11," "
"Prot_Dia  ","dPout_D1  ",  12," "
"Prot_Dia  ","dAutC_D1  ",  13," "
"Prot_Dia  ","dDetC_D1  ",  14," "
"Prot_Dia  ","dAutN_D1  ",  15," "
"Prot_Dia  ","dDetN_D1  ",  16," "
"Prot_Dia  ","dAutP_D1  ",  17," "
"Prot_Dia  ","dDetP_D1  ",  18," "
"Prot_Dia  ","dAutSi_D1 ",  19," "
"Prot_Dia  ","dDetSi_D1 ",  20," "
"Prot_Dia  ","dAutChl_D1",  21," "
"Prot_Dia  ","dDetChl_D1",  22," "
"Prot_Dia  ","dNH4up_D2 ",  23," "
"Prot_Dia  ","dNO3up_D2 ",  24," "
"Prot_Dia  ","dPup_D2   ",  25," "
"Prot_Dia  ","dSiup_D2  ",  26," "
"Prot_Dia  ","dCfix_D2  ",  27," "
"Prot_Dia  ","dChlsyn_D2",  28," "
"Prot_Dia  ","dChldeg_D2",  29," "
"Prot_Dia  ","dCresp_D2 ",  30," "
"Prot_Dia  ","dCleak_D2 ",  31," "
"Prot_Dia  ","dCvoid_D2 ",  32," "
"Prot_Dia  ","dNH4out_D2",  33," "
"Prot_Dia  ","dPout_D2  ",  34," "
"Prot_Dia  ","dAutC_D2  ",  35," "
"Prot_Dia  ","dDetC_D2  ",  36," "
"Prot_Dia  ","dAutN_D2  ",  37," "
"Prot_Dia  ","dDetN_D2  ",  38," "
"Prot_Dia  ","dAutP_D2  ",  39," "
"Prot_Dia  ","dDetP_D2  ",  40," "
"Prot_Dia  ","dAutSi_D2 ",  41," "
"Prot_Dia  ","dDetSi_D2 ",  42," "
"Prot_Dia  ","dAutChl_D2",  43," "
"Prot_Dia  ","dDetChl_D2",  44," "
"ProSedD   ","dSedC_1   ",   1,"x"
"ProSedD   ","dSedChl_1 ",   2,"x"
"ProSedD   ","dSedN_1   ",   3,"x"
"ProSedD   ","dSedP_1   ",   4,"x"
"ProSedD   ","dSedSi_1  ",   5,"x"
"ProSedD   ","dSedC_2   ",   6,"x"
"ProSedD   ","dSedChl_2 ",   7,"x"
"ProSedD   ","dSedN_2   ",   8,"x"
"ProSedD   ","dSedP_2   ",   9,"x"
"ProSedD   ","dSedSi_2  ",  10,"x"
"Prot_Gre  ","dNH4up_G1 ",   1," "
"Prot_Gre  ","dNO3up_G1 ",   2," "
"Prot_Gre  ","dPup_G1   ",   3," "
"Prot_Gre  ","dCfix_G1  ",   4," "
"Prot_Gre  ","dChlsyn_G1",   5," "
"Prot_Gre  ","dChldeg_G1",   6," "
"Prot_Gre  ","dCresp_G1 ",   7," "
"Prot_Gre  ","dCleak_G1 ",   8," "
"Prot_Gre  ","dCvoid_G1 ",   9," "
"Prot_Gre  ","dNH4out_G1",  10," "
"Prot_Gre  ","dPout_G1  ",  11," "
